INSTCODE,DOI,ACCENUMB,HISTORIC,CURATION,GENUS,SPECIES,SPAUTHOR,SUBTAXA,SUBTAUTHOR,GRIN_TAXON_ID,GRIN_NAME,GRIN_AUTHOR,CROPNAME,CROPCODE,SAMPSTAT,ACQDATE,ACCENAME,ORIGCTY,COLLSITE,LATITUDE,LONGITUDE,COORDUNCERT,COORDDATUM,GEOREFMETH,ELEVATION,COLLDATE,COLLSRC,COLLNUMB,COLLCODE,COLLNAME,COLLINSTADDRESS,COLLMISSID,DONORCODE,DONORNAME,DONORNUMB,OTHERNUMB,BREDCODE,BREDNAME,ANCEST,DUPLSITE,DUPLINSTNAME,STORAGE,MLSSTAT,ACCEURL,REMARKS,AEGIS,AVAILABLE,DATAPROVIDERID,COLLECTION,UUID,LASTMODIFIED
BEL084,10.18730/9MV8S,ITC1451,FALSE,,Musa,aaa,,subgr. mutika/lujugira,,,,,Banana,banana,300,20021202,Kitarasa,TZA,"KILIMANJARO - Moshi - Ongoma village, Uru north",-3.267,37.35,,,,1337,20010712,20,TME09,FRA144,,,,TZA021,HORTI Tengeru,TZA021:TME 09,,,,,FRA202,,99;40;30,TRUE,https://www.crop-diversity.org/mgis/collection/01BEL084/ITC1451,,FALSE,TRUE,,,c83c85f4-0bfd-44ff-90b2-d26d9448a95f,04-Jun-2026
BEL084,10.18730/9MVAV,ITC1452,FALSE,,Musa,aa,,subgr. mshare,,,,,Banana,banana,300,20021202,Huti(Shumba nyeelu),TZA,USAMBARA - Lushoto - Bumbulu - Mbokoi village,-4.892,38.596,,,,1438,20010715,20,TME12,FRA144,,,,TZA021,HORTI Tengeru,TZA021:TME 12,,,,,FRA202,,99;40;30,TRUE,https://www.crop-diversity.org/mgis/collection/01BEL084/ITC1452,,FALSE,TRUE,,,5d1bf9e1-29e9-4e97-88f2-516ad31f5c1c,04-Jun-2026
BEL084,10.18730/9MTXE,ITC1446,FALSE,,Musa,aa,,subgr. mshare,,,,,Banana,banana,300,20021202,Makyughu II,TZA,KILIMANJARO - Hai - Uduru village,-3.225,37.231,,,,1242,20010711,20,,,,,,TZA021,HORTI Tengeru,TZA021:TME 04,,,,,FRA202,,99;40;30,TRUE,https://www.crop-diversity.org/mgis/collection/01BEL084/ITC1446,,FALSE,TRUE,,,25b6461e-33db-41df-a47e-dca0f7a60fcf,04-Jun-2026
BEL084,10.18730/9MV6Q,ITC1450,FALSE,,Musa,aa,,,,,,,Banana,banana,300,20021202,Kisukari Usiniguse,TZA,"KILIMANJARO - Moshi - Ongoma village, Uru north",-3.275,37.389,,,,1237,20010712,20,TME10,FRA144,,,,TZA021,HORTI Tengeru,TZA021:TME 10,,,,,FRA202,,40;30,TRUE,https://www.crop-diversity.org/mgis/collection/01BEL084/ITC1450,,FALSE,FALSE,,,dc8c265a-8bc9-4dd1-ae19-312930ce2938,04-Jun-2026
BEL084,10.18730/9JR7T,ITC0319,FALSE,,Musa,aaa,,,,,,,Banana,banana,300,19871113,Biu Ketip,IDN,"Indonesia - Bali - Highway, 2 Mile East Of Tabanau",-8.546,115.12,,,,,19610801,,2-7759,,,,,HND004,FHIA,HND004:II-370,,,,,FRA202,,99;40;30,TRUE,https://www.crop-diversity.org/mgis/collection/01BEL084/ITC0319,,FALSE,TRUE,,,0cc29a4f-c5d6-4c08-928f-d1ea4d49939a,04-Jun-2026
BEL084,10.18730/9JQ1S,ITC0301,FALSE,,Musa,aaa,,subgr. mutika/lujugira,,,,,Banana,banana,300,19871113,Bui Se-ed,IDN,"Indonesia - Bali - Highlands, Singaraja District",-8.105,115.093,,,,,19610801,,2-7757,,,,,HND004,FHIA,HND004:II-368,,,,,FRA202,,99;40;30,TRUE,https://www.crop-diversity.org/mgis/collection/01BEL084/ITC0301,,FALSE,TRUE,,,21be1a0d-29ba-4b73-b640-8f8b469aa577,04-Jun-2026
BEL084,10.18730/9JA6N,ITC0090,FALSE,,Musa,aa,,,,,,,Banana,banana,300,19860602,Tjau Lagada,IDN,Bogor - West Java / dissected volcanic plain,-6.589,106.793,,,,,,,V-34,,,,,CRI001,CATIE,CRI001:CATIE 14048,HND004:V-34,,,,,,99;40;30,TRUE,https://www.crop-diversity.org/mgis/collection/01BEL084/ITC0090,,FALSE,TRUE,,,7ea490d8-0601-480f-a7c9-b77510a9d85d,04-Jun-2026
BEL084,10.18730/9J9AY,ITC0080,FALSE,,Musa,balbisiana,Colla,,,24708,Musa balbisiana,Colla,Banana,banana,100,19841214,Balbisiana,CRI,Costa Rica - Limon,9.962,-83.315,,,,,19600401,,I-63,,,,,HND004,FHIA,HND004:I-63,,,,,FRA202,,99;40;30,TRUE,https://www.crop-diversity.org/mgis/collection/01BEL084/ITC0080,,FALSE,TRUE,,,ed844258-f911-4e66-8b76-beaa1b889d1e,04-Jun-2026
NGA039,10.18730/SRJ7K,TMp-128,FALSE,FULL,Musa,sp.,,,,312415,Musa spp.,,Banana,banana,400,20180131,26285,NGA,Ibadan,7.37756,3.90591,,,,,,40,,,,,,,,,,,,,,,20;30,TRUE,https://www.genesys-pgr.org/10.18730/SRJ7K,Plantain,FALSE,TRUE,,,69814694-83f9-442b-918b-820be07eb36b,21-Jul-2026
NGA039,10.18730/SRJ8M,TMp-129,FALSE,FULL,Musa,sp.,,,,312415,Musa spp.,,Banana,banana,400,20180131,11669,NGA,Ibadan,7.37756,3.90591,,,,,,40,,,,,,,,,,,,,,,20;30,TRUE,https://www.genesys-pgr.org/10.18730/SRJ8M,Plantain,FALSE,TRUE,,,14df7d6f-6027-4bf5-b2b2-6fe5049fdddc,21-Jul-2026
NGA039,10.18730/SRJ9N,TMp-130,FALSE,FULL,Musa,sp.,,,,312415,Musa spp.,,Banana,banana,400,20180131,1199-1,NGA,Ibadan,7.37756,3.90591,,,,,,40,,,,,,,,,,,,,,,20;30,TRUE,https://www.genesys-pgr.org/10.18730/SRJ9N,Plantain,FALSE,TRUE,,,020a9509-0a98-4925-b92b-872289b5f914,21-Jul-2026
NGA039,10.18730/SRJAP,TMp-131,FALSE,FULL,Musa,sp.,,,,312415,Musa spp.,,Banana,banana,400,20180131,1199-6,NGA,Ibadan,7.37756,3.90591,,,,,,40,,,,,,,,,,,,,,,20;30,TRUE,https://www.genesys-pgr.org/10.18730/SRJAP,Plantain,FALSE,TRUE,,,fffbac73-9b5c-4fcd-bd1a-ccc8205738fa,21-Jul-2026
NGA039,10.18730/SRJBQ,TMp-132,FALSE,FULL,Musa,sp.,,,,312415,Musa spp.,,Banana,banana,400,20180131,1297-3,NGA,Ibadan,7.37756,3.90591,,,,,,40,,,,,,,,,,,,,,,20;30,TRUE,https://www.genesys-pgr.org/10.18730/SRJBQ,Plantain,FALSE,TRUE,,,65e3d712-17ca-47e5-a0c0-45d12579c3c3,21-Jul-2026
NGA039,10.18730/SRJCR,TMp-133,FALSE,FULL,Musa,sp.,,,,312415,Musa spp.,,Banana,banana,400,20180131,1448-1,NGA,Ibadan,7.37756,3.90591,,,,,,40,,,,,,,,,,,,,,,20;30,TRUE,https://www.genesys-pgr.org/10.18730/SRJCR,Plantain,FALSE,TRUE,,,276227d2-46da-4ecc-ae45-e815d16a79ec,21-Jul-2026
NGA039,10.18730/SRJDS,TMp-134,FALSE,FULL,Musa,sp.,,,,312415,Musa spp.,,Banana,banana,400,20180131,14563-1,NGA,Ibadan,7.37756,3.90591,,,,,,40,,,,,,,,,,,,,,,20;30,TRUE,https://www.genesys-pgr.org/10.18730/SRJDS,Plantain,FALSE,TRUE,,,02dbf3ed-c698-41e6-83f8-0959644a796f,21-Jul-2026
NGA039,10.18730/SRJET,TMp-135,FALSE,FULL,Musa,sp.,,,,312415,Musa spp.,,Banana,banana,400,20180131,14604-37,NGA,Ibadan,7.37756,3.90591,,,,,,40,,,,,,,,,,,,,,,20;30,TRUE,https://www.genesys-pgr.org/10.18730/SRJET,Plantain,FALSE,TRUE,,,5a18f514-5203-4b7a-a84d-0ffdbded3f5c,21-Jul-2026
NGA039,10.18730/SRJFV,TMp-136,FALSE,FULL,Musa,sp.,,,,312415,Musa spp.,,Banana,banana,400,20180131,15035-2,NGA,Ibadan,7.37756,3.90591,,,,,,40,,,,,,,,,,,,,,,20;30,TRUE,https://www.genesys-pgr.org/10.18730/SRJFV,Plantain,FALSE,TRUE,,,5b5010d7-ffd0-494e-9789-3d178a8f72e1,21-Jul-2026
NGA039,10.18730/SRJGW,TMp-137,FALSE,FULL,Musa,sp.,,,,312415,Musa spp.,,Banana,banana,400,20180131,15090-102,NGA,Ibadan,7.37756,3.90591,,,,,,40,,,,,,,,,,,,,,,20;30,TRUE,https://www.genesys-pgr.org/10.18730/SRJGW,Plantain,FALSE,TRUE,,,44fae76a-7dbb-4964-8323-865d05e1b6a4,21-Jul-2026
NGA039,10.18730/SRJHX,TMp-138,FALSE,FULL,Musa,sp.,,,,312415,Musa spp.,,Banana,banana,400,20180131,15090-130,NGA,Ibadan,7.37756,3.90591,,,,,,40,,,,,,,,,,,,,,,20;30,TRUE,https://www.genesys-pgr.org/10.18730/SRJHX,Plantain,FALSE,TRUE,,,c963b2e4-c9a3-41c8-901a-4fbfc3695ccd,21-Jul-2026
TZA016,,MH 131,FALSE,,Musa,sapientum,,,,70453,Musa x paradisiaca,L.,banana,banana,300,20190400,,TZA,,-4.428483333,35.7353,,,,,,,,,,,,,,,,,,,,,13,,,,FALSE,,,,9cfbadfe-6183-449a-92e1-2eed6110a393,05-Dec-2024
TZA016,,MH 132,FALSE,,Musa,sapientum,,,,70453,Musa x paradisiaca,L.,banana,banana,300,20190400,,TZA,,-4.428483333,35.7353,,,,,,,,,,,,,,,,,,,,,13,,,,FALSE,,,,41a5dd38-2ca3-4241-a99e-139f6220b779,05-Dec-2024
TZA016,,MH 130,FALSE,,Musa,sapientum,,,,70453,Musa x paradisiaca,L.,banana,banana,300,20190400,,TZA,,-4.428483333,35.7353,,,,,,,,,,,,,,,,,,,,,13,,,,FALSE,,,,532e1240-9ea1-4d62-b061-d9a5531aab6b,05-Dec-2024
